date,entity,Id,hours,precio_bolsa,datetime
2019-01-04,Sistema,Sistema,13,380.88136,2019-01-04 13:00:00
2019-01-04,Sistema,Sistema,14,380.88136,2019-01-04 14:00:00
2019-01-04,Sistema,Sistema,15,380.88136,2019-01-04 15:00:00
2019-01-04,Sistema,Sistema,16,380.88136,2019-01-04 16:00:00
2019-01-04,Sistema,Sistema,17,380.88136,2019-01-04 17:00:00
2019-01-04,Sistema,Sistema,18,380.88136,2019-01-04 18:00:00
2019-01-04,Sistema,Sistema,19,380.88136,2019-01-04 19:00:00
2019-01-04,Sistema,Sistema,20,380.88136,2019-01-04 20:00:00
2019-01-04,Sistema,Sistema,21,380.88136,2019-01-04 21:00:00
2019-01-04,Sistema,Sistema,22,378.15036,2019-01-04 22:00:00
2019-01-04,Sistema,Sistema,23,344.05036,2019-01-04 23:00:00
2019-01-05,Sistema,Sistema,0,348.38007,2019-01-05 00:00:00
2019-01-05,Sistema,Sistema,1,348.38007,2019-01-05 01:00:00
2019-01-05,Sistema,Sistema,2,348.38007,2019-01-05 02:00:00
2019-01-05,Sistema,Sistema,3,239.00707,2019-01-05 03:00:00
2019-01-05,Sistema,Sistema,4,254.43607,2019-01-05 04:00:00
2019-01-05,Sistema,Sistema,5,348.38007,2019-01-05 05:00:00
2019-01-05,Sistema,Sistema,6,348.38007,2019-01-05 06:00:00
2019-01-05,Sistema,Sistema,7,348.38007,2019-01-05 07:00:00
2019-01-05,Sistema,Sistema,8,348.38007,2019-01-05 08:00:00
2019-01-05,Sistema,Sistema,9,381.24907,2019-01-05 09:00:00
2019-01-05,Sistema,Sistema,10,401.64907,2019-01-05 10:00:00
2019-01-05,Sistema,Sistema,11,381.24907,2019-01-05 11:00:00
2019-01-05,Sistema,Sistema,12,381.24907,2019-01-05 12:00:00
2019-01-05,Sistema,Sistema,13,381.24907,2019-01-05 13:00:00
2019-01-05,Sistema,Sistema,14,381.24907,2019-01-05 14:00:00
2019-01-05,Sistema,Sistema,15,381.24907,2019-01-05 15:00:00
2019-01-05,Sistema,Sistema,16,379.64907,2019-01-05 16:00:00
2019-01-05,Sistema,Sistema,17,360.64907,2019-01-05 17:00:00
2019-01-05,Sistema,Sistema,18,381.24907,2019-01-05 18:00:00
2019-01-05,Sistema,Sistema,19,396.64907,2019-01-05 19:00:00
2019-01-05,Sistema,Sistema,20,381.24907,2019-01-05 20:00:00
2019-01-05,Sistema,Sistema,21,381.24907,2019-01-05 21:00:00
2019-01-05,Sistema,Sistema,22,381.24907,2019-01-05 22:00:00
2019-01-05,Sistema,Sistema,23,348.38007,2019-01-05 23:00:00
2019-01-06,Sistema,Sistema,0,260.20309,2019-01-06 00:00:00
2019-01-06,Sistema,Sistema,1,260.20309,2019-01-06 01:00:00
2019-01-06,Sistema,Sistema,2,260.20309,2019-01-06 02:00:00
2019-01-06,Sistema,Sistema,3,260.20309,2019-01-06 03:00:00
2019-01-06,Sistema,Sistema,4,260.20309,2019-01-06 04:00:00
2019-01-06,Sistema,Sistema,5,260.20309,2019-01-06 05:00:00
2019-01-06,Sistema,Sistema,6,257.51609,2019-01-06 06:00:00
2019-01-06,Sistema,Sistema,7,260.20309,2019-01-06 07:00:00
2019-01-06,Sistema,Sistema,8,260.20309,2019-01-06 08:00:00
2019-01-06,Sistema,Sistema,9,260.20309,2019-01-06 09:00:00
2019-01-06,Sistema,Sistema,10,360.20309,2019-01-06 10:00:00
2019-01-06,Sistema,Sistema,11,369.73409,2019-01-06 11:00:00
2019-01-06,Sistema,Sistema,12,369.73409,2019-01-06 12:00:00
2019-01-06,Sistema,Sistema,13,369.73409,2019-01-06 13:00:00
2019-01-06,Sistema,Sistema,14,369.73409,2019-01-06 14:00:00
2019-01-06,Sistema,Sistema,15,369.73409,2019-01-06 15:00:00
2019-01-06,Sistema,Sistema,16,360.20309,2019-01-06 16:00:00
2019-01-06,Sistema,Sistema,17,260.20309,2019-01-06 17:00:00
2019-01-06,Sistema,Sistema,18,369.73409,2019-01-06 18:00:00
2019-01-06,Sistema,Sistema,19,369.73409,2019-01-06 19:00:00
2019-01-06,Sistema,Sistema,20,369.73409,2019-01-06 20:00:00
2019-01-06,Sistema,Sistema,21,369.73409,2019-01-06 21:00:00
2019-01-06,Sistema,Sistema,22,369.73409,2019-01-06 22:00:00
2019-01-06,Sistema,Sistema,23,260.20309,2019-01-06 23:00:00
2019-01-07,Sistema,Sistema,0,369.71226,2019-01-07 00:00:00
2019-01-07,Sistema,Sistema,1,250.18126,2019-01-07 01:00:00
2019-01-07,Sistema,Sistema,2,250.18126,2019-01-07 02:00:00
2019-01-07,Sistema,Sistema,3,250.18126,2019-01-07 03:00:00
2019-01-07,Sistema,Sistema,4,250.18126,2019-01-07 04:00:00
2019-01-07,Sistema,Sistema,5,250.18126,2019-01-07 05:00:00
2019-01-07,Sistema,Sistema,6,250.18126,2019-01-07 06:00:00
2019-01-07,Sistema,Sistema,7,250.18126,2019-01-07 07:00:00
2019-01-07,Sistema,Sistema,8,250.18126,2019-01-07 08:00:00
2019-01-07,Sistema,Sistema,9,379.18126,2019-01-07 09:00:00
2019-01-07,Sistema,Sistema,10,369.71226,2019-01-07 10:00:00
2019-01-07,Sistema,Sistema,11,369.71226,2019-01-07 11:00:00
2019-01-07,Sistema,Sistema,12,369.71226,2019-01-07 12:00:00
2019-01-07,Sistema,Sistema,13,369.71226,2019-01-07 13:00:00
2019-01-07,Sistema,Sistema,14,369.71226,2019-01-07 14:00:00
2019-01-07,Sistema,Sistema,15,369.71226,2019-01-07 15:00:00
2019-01-07,Sistema,Sistema,16,369.71226,2019-01-07 16:00:00
2019-01-07,Sistema,Sistema,17,369.71226,2019-01-07 17:00:00
2019-01-07,Sistema,Sistema,18,400.18126,2019-01-07 18:00:00
2019-01-07,Sistema,Sistema,19,401.18126,2019-01-07 19:00:00
2019-01-07,Sistema,Sistema,20,400.18126,2019-01-07 20:00:00
2019-01-07,Sistema,Sistema,21,369.71226,2019-01-07 21:00:00
2019-01-07,Sistema,Sistema,22,369.71226,2019-01-07 22:00:00
2019-01-07,Sistema,Sistema,23,369.71226,2019-01-07 23:00:00
2019-01-08,Sistema,Sistema,0,363.8843,2019-01-08 00:00:00
2019-01-08,Sistema,Sistema,1,310.1533,2019-01-08 01:00:00
2019-01-08,Sistema,Sistema,2,310.1533,2019-01-08 02:00:00
2019-01-08,Sistema,Sistema,3,310.1533,2019-01-08 03:00:00
2019-01-08,Sistema,Sistema,4,310.1533,2019-01-08 04:00:00
2019-01-08,Sistema,Sistema,5,310.1533,2019-01-08 05:00:00
2019-01-08,Sistema,Sistema,6,360.1533,2019-01-08 06:00:00
2019-01-08,Sistema,Sistema,7,363.8843,2019-01-08 07:00:00
2019-01-08,Sistema,Sistema,8,363.8843,2019-01-08 08:00:00
2019-01-08,Sistema,Sistema,9,369.5533,2019-01-08 09:00:00
2019-01-08,Sistema,Sistema,10,369.5533,2019-01-08 10:00:00
2019-01-08,Sistema,Sistema,11,380.1533,2019-01-08 11:00:00
2019-01-08,Sistema,Sistema,12,380.1533,2019-01-08 12:00:00
2019-01-08,Sistema,Sistema,13,380.1533,2019-01-08 13:00:00
2019-01-08,Sistema,Sistema,14,380.1533,2019-01-08 14:00:00
2019-01-08,Sistema,Sistema,15,380.1533,2019-01-08 15:00:00
2019-01-08,Sistema,Sistema,16,369.5533,2019-01-08 16:00:00
2019-01-08,Sistema,Sistema,17,363.8843,2019-01-08 17:00:00
2019-01-08,Sistema,Sistema,18,380.1533,2019-01-08 18:00:00
2019-01-08,Sistema,Sistema,19,380.1533,2019-01-08 19:00:00
2019-01-08,Sistema,Sistema,20,380.1533,2019-01-08 20:00:00
2019-01-08,Sistema,Sistema,21,369.5533,2019-01-08 21:00:00
2019-01-08,Sistema,Sistema,22,363.8843,2019-01-08 22:00:00
2019-01-08,Sistema,Sistema,23,363.8843,2019-01-08 23:00:00
2019-01-09,Sistema,Sistema,0,257.49997,2019-01-09 00:00:00
2019-01-09,Sistema,Sistema,1,249.18697,2019-01-09 01:00:00
2019-01-09,Sistema,Sistema,2,249.18697,2019-01-09 02:00:00
2019-01-09,Sistema,Sistema,3,249.18697,2019-01-09 03:00:00
2019-01-09,Sistema,Sistema,4,249.18697,2019-01-09 04:00:00
2019-01-09,Sistema,Sistema,5,257.49997,2019-01-09 05:00:00
2019-01-09,Sistema,Sistema,6,280.18697,2019-01-09 06:00:00
2019-01-09,Sistema,Sistema,7,280.18697,2019-01-09 07:00:00
2019-01-09,Sistema,Sistema,8,280.18697,2019-01-09 08:00:00
2019-01-09,Sistema,Sistema,9,360.91797,2019-01-09 09:00:00
